Type of Course,Department,Course #,Course Name,Units,Prerequisites,Tools,Description,,
Method,African American Studies (AFRICAM),101,Research Methods for African American Studies,5,Introductory statistics.,,"As an introduction to interdisciplinary research methods as they are applied to the study of African American communities, the course will examine theoretical and conceptual issues; techniques for identifying existing research; and sources and methods of social research and data collection. The main focus will be on qualitative methods.",,
Method,American Studies (AMERSTD),C134,Information Technology and Society,4,None,,"This course assesses the role of information technology in the digitalization of society by focusing on the deployment of e-government, e-commerce, e-learning, the digital city, telecommuting, virtual communities, internet time, the virtual office, and the geography of cyber space. The course will also discuss the role of information technology in the governance and economic development of society. ",,
Core,Anthropology (ANTHRO),169A,Data Analysis and Computational Methods,4,Anthro 2,,"This course capitalizes on a successful approach of using definitional formulas to emphasize concepts of statistics, rather than rote memorization in both qualitative and quantitative anthropology. This conceptual approach constantly reminds the students of the logic behind what they are learning. Procedures are taught verbally, numerically, and visually, to reach students with different learning styles.",,
Method,Anthropology (ANTHRO),135,Paleoethnobotany: Archaeological Methods and Laboratory Techniques,4,Anthro 2,,"An introduction to the basic approaches and techniques in archaeobotanical analysis. A series of different data types and their unique approaches will be discussed, including phytoliths, pollen, and DNA, with an emphasis on macrofloral remains. Laboratory study will include the major classes of plant remains likely to be encountered in archaeological sites. Discussion will emphasize the use of plant remains to answer archaeological questions, rather than study the plant remains for their own sake. Microscope work and computing will be included.",,
Method,Anthropology (ANTHRO),169A,Data Analysis and Computational Methods,4,Anthro 2,,"This course capitalizes on a successful approach of using definitional formulas to emphasize concepts of statistics, rather than rote memorization in both qualitative and quantitative anthropology. This conceptual approach constantly reminds the students of the logic behind what they are learning. Procedures are taught verbally, numerically, and visually, to reach students with different learning styles.",,
Method,Anthropology (ANTHRO),169B,Research Theory and Methods in Socio-Cultural Anthropology,5,Anthro 3,,"Introduction to research problems and research design techniques. Will involve local field research on the collection, analysis, and presentation of data. This course requires 15 hours of work per week including class time, outside work and preparation. One section meeting per week will be required.",,
Method,Anthropology (ANTHRO),169C,Research Theory and Methods in Linguistic Anthropology,4,None,,"This course provides an introduction to selected theories and methods in Linguistic Anthropology, with a focus on topics of relevance to ethnographic fieldwork. Readings and lectures are organized into three modules: Linguistic categories and their consequences for thought, the effects of social context on meaning, and the empirical basis of research on language.",,
Method,Architecture (ARCH),154,Design and Computer Analysis of Structure,3,Arch 150,,Design and analysis of whole structural building systems with the aid of finite element analytical methods. Advanced structural concepts explored in a laboratory environment.,,
Method,Asian American Studies Program (ASAMST),165,Research Methodologies in Asian American Communities,4,20A or 20B,,"Approaches to research in the Asian American community with emphasis on the San Francisco Bay Area. Problems of research design, measurement, and data collection, processing ,and analysis will be considered.",,
Core,Bioengineering (BIO ENG),143,Computational Methods in Biology,4,Math 53 and Math 54,,"An introduction to biophysical simulation methods and algorithms, including molecular dynamics, Monte Carlo, mathematical optimization, and ""non-algorithmic"" computation such as neural networks. Various case studies in applying these areas in the areas of protein folding, protein structure prediction, drug docking, and enzymatics will be covered. Core Specialization: Core B (Informatics and Genomics); Core D (Computational Biology); BioE Content: Biological.",,
Method,Bioengineering (BIO ENG),131,Introduction to Computational Molecular and Cell Biology,4,Mathematics 53 and Biology 1A (may be taken concurrently).,,"Topics include computational approaches and techniques to gene structure and genome annotation, sequence alignment using dynamic programming, protein domain analysis, RNA folding and structure prediction, RNA sequence design for synthetic biology, genetic and biochemical pathways and networks, UNIX and scripting languages, basic probability and information theory. Various ""case studies"" in these areas are reviewed; web-based computational biology tools will be used by students and programming projects will be given. Computational biology research connections to biotechnology will be explored.",,
Method,Bioengineering (BIO ENG),143,Computational Methods in Biology,4,Math 53 and Math 54; programming experience preferred but not required.,,"An introduction to biophysical simulation methods and algorithms, including molecular dynamics, Monte Carlo, mathematical optimization, and ""non-algorithmic"" computation such as neural networks. Various case studies in applying these areas in the areas of protein folding, protein structure prediction, drug docking, and enzymatics will be covered. Core Specialization: Core B (Informatics and Genomics); Core D (Computational Biology); BioE Content: Biological.",,
Core,Civil and Environmental Engineering (CIV ENG),93,Engineering Data Analysis,3,Engineering 7,,Application of the concepts and methods of probability theory and statistical inference to CEE problems and data; graphical data analysis and sampling; elements of set theory; elements of probability theory; random variables and expectation; simulation; statistical inference. Applications to various CEE problems and real data will be developed by use of MATLAB and existing codes. The course also introduces the student to various domains of uncertainty analysis in CEE.,,
Method,Civil and Environmental Engineering (CIV ENG),93,Engineering Data Analysis,3,Engineering 7. Students will receive no credit after taking Statistics 25.,MATLAB,Application of the concepts and methods of probability theory and statistical inference to CEE problems and data; graphical data analysis and sampling; elements of set theory; elements of probability theory; random variables and expectation; simulation; statistical inference. Applications to various CEE problems and real data will be developed by use of MATLAB and existing codes. The course also introduces the student to various domains of uncertainty analysis in CEE.,,
Method,Civil and Environmental Engineering (CIV ENG),193,Engineering Risk Analysis,3,Upper division standing.,,"Applications of probability theory and statistics in planning, analysis, and design of civil engineering systems. Development of probabilistic models for risk and reliability evaluation. Occurrence models; extreme value distributions. Analysis of uncertainties. Introduction to Bayesian statistical decision theory and its application in engineering decision-making.",,
Method,Cognitive Science (COG SCI),131,Computational Models of Cognition,4,"Calculus, discrete mathematics, C1, Computer Science 61A, or equivalents.",,"This course will provide advanced students in cognitive science and computer science with the skills to develop computational models of human cognition, giving insight into how people solve challenging computational problems, as well as how to bring computers closer to human performance. The course will explore three ways in which researchers have attempted to formalize cognition -- symbolic approaches, neural networks, and probability and statistics -- considering the strengths and weaknesses of each.",,
Method,Cognitive Science (COG SCI),c140,Quantitative Methods in Linguistics,4,Linguistics 100 or graduate student standing.,R,An introduction to research using quantitative analysis in linguistics and cognitive science. Students will learn how to use the R programming environment for statistical analysis and data visualization. Also listed as Linguistics C160.,,
Core,Computer Science (COMPSCI),194-16,Introduction to Data Science,3,"CS 61A, CS 61B, CS 61C, CS 70","Python, VirtualBox","Organizations use their data for decision support and to build data-intensive products and services. The collection of skills required by organizations to support these functions has been grouped under the term Data Science. This course will attempt to articulate the expected output of Data Scientists and then equip the students with the ability to deliver against these expectations. The assignments will involve web programming, statistics, and the ability to manipulate data sets with code.",,
Core,Computer Science (COMPSCI),189,Introduction to Machine Learning,4,"MATH 53, MATH 54, CS 70, CS 188",python,"Theoretical foundations, algorithms, methodologies, and applications for machine learning. Topics may include supervised methods for regression and classication (linear models, trees, neural networks, ensemble methods, instance-based methods); generative and discriminative probabilistic models; Bayesian parametric learning; density estimation and clustering; Bayesian networks; time series models; dimensionality reduction; programming projects covering a variety of real-world applications.",,
Core,Computer Science (COMPSCI),186,Introduction to Database Systems,4,"CS 61B, CS 61C","SQL, Spark","Access methods and file systems to facilitate data access. Hierarchical, network, relational, and object-oriented data models. Query languages for models. Embedding query languages in programming languages. Database services including protection, integrity control, and alternative views of data. High-level interfaces including application generators, browsers, and report writers. Introduction to transaction processing. Database system implementation to be done as term project.",,
Core,Computer Science (COMPSCI),C8,Foundations of Data Science,4,None,Python (Jupyter notebooks),"Foundations of data science from three perspectives: inferential thinking, computational thinking, and real-world relevance. Given data arising from some real-world phenomenon, how does one analyze that data so as to understand that phenomenon? The course teaches critical concepts and skills in computer programming and statistical inference, in conjunction with hands-on analysis of real-world datasets, including economic data, document collections, geographical data, and social networks. It delves into social and legal issues surrounding data analysis, including issues of privacy and data ownership.",,
Method,Computer Science (COMPSCI),9A,Matlab for Programmers,2,Programming experience equivalent to that gained in Computer Science 10; familiarity with applications of matrix processing,,"Introduction to the constructs in the Matlab programming language, aimed at students who already know how to program. Array and matrix operations, functions and function handles, control flow, plotting and image manipulation, cell arrays and structures, and the Symbolic Mathematics toolbox.",,
Method,Computer Science (COMPSCI),9C,C for Programmers,2,"Programming experience with pointers (or addresses in assembly language) and linked data structures equivalent to that gained in Computer Science 9B or 61A, or Engineering 7",,"Self-paced course in the C programming language for students who already know how to program. Computation, input and output, flow of control, functions, arrays, and pointers, linked structures, use of dynamic storage, and implementation of abstract data types.",,
