Course Dept,Course #,Course Name,Prerequisites,Units,Tools,Description,Course Cluster
Statistics (STAT),154,Modern Statistical Prediction and Machine Learning,"MATH 53, MATH  54, STAT 135, MATH 55 ",4,R or Python,"Theory and practice of statistical prediction. Contemporary methods as extensions of classical methods. Topics: optimal prediction rules, the curse of dimensionality, empirical risk, linear regression and classification, basis expansions, regularization, splines, the bootstrap, model selection, classification and regression trees, boosting, support vector machines. Computational efficiency versus predictive performance. Emphasis on experience with real data and assessing statistical assumptions.",Mathematics/Statistics
Statistics (STAT),88,Probability and Mathematical Statistics in Data Science,DATA 8,2,nan,"In this connector course we will state precisely and prove results discovered in DS8 through working with data. Topics include: total variation distance between discrete distributions; the mean, standard deviation, and tail bounds; correlation, and the derivation of the regression equation; probabilities, random variables, and the Central Limit Theorem; probabilistic models; symmetries in random permutations; prior and posterior distributions, and Bayes rule.",Mathematics/Statistics
Statistics (STAT),159,Reproducible and Collaborative Data Science,"STAT 133, STAT 134, STAT 135",4,"Bash, Git, Python, and LaTeX","A project-based introduction to statistical data analysis. Through case studies, computer laboratories, and a term project, students will learn practical techniques and tools for producing statistically sound and appropriate, reproducible, and verifiable computational answers to scientific questions. Course emphasizes version control, testing, process automation, code review, and collaborative programming. Software tools may include Bash, Git, Python, and LaTeX.",Mathematics/Statistics
Statistics (STAT),152,Sampling Surveys,"STAT 101 or STAT 134, STAT 133, STAT 135",4,nan,"Theory and practice of sampling from finite populations. Simple random, stratified, cluster, and double sampling. Sampling with unequal probabilities. Properties of various estimators including ratio, regression, and difference estimators. Error estimation for complex samples.",Mathematics/Statistics
Statistics (STAT),158,The Design and Analysis of Experiments,"STAT 134, STAT 135, STAT 133",4,nan,"An introduction to the design and analysis of experiments. This course covers planning, conducting, and analyzing statistically designed experiments with an emphasis on hands-on experience. Standard designs studied include factorial designs, block designs, latin square designs, and repeated measures designs. Other topics covered include the principles of design, randomization, ANOVA, response surface methodoloy, and computer experiments.",Mathematics/Statistics
Statistics (STAT),153,Time Series,"STAT 101, STAT 134, STAT 133 or STAT 135",4,nan,"An introduction to time series analysis in the time domain and spectral domain. Topics will include: estimation of trends and seasonal effects, autoregressive moving average models, forecasting, indicators, harmonic analysis, spectra.",Mathematics/Statistics
Mathematics (MATH),191,Experimental Courses in Mathematics,Consent of instructor,1,nan,The topics to be covered and the method of instruction to be used will be announced at the beginning of each semester that such courses are offered.,Mathematics/Statistics
Mathematics (MATH),54,Linear Algebra and Differential Equations,MATH 1B,4,nan,Basic linear algebra; matrix arithmetic and determinants. Vector spaces; inner product as spaces. Eigenvalues and eigenvectors; linear transformations. Homogeneous ordinary differential equations; first-order differential equations with constant coefficients. Fourier series and partial differential equations.,Mathematics/Statistics
Mathematics (MATH),170,Mathematical Methods for Optimization,"MATH 53, MATH 54",4,MATLAB,"The modeling, analysis, and optimization of complex systems requires a range of algorithms and design software. This course reviews the fundamental techniques underlying the design methodology for complex systems, using integrated circuit design as example. Topics include design flows, discrete and continuous models and algorithms, and strategies for implementing algorithms efficiently and correctly in software. Laboratory assignments and a class project will expose students to state-of-the-art tools.",Mathematics/Statistics
Mathematics (MATH),128A,Numerical Analysis,"MATH 53, MATH 54",4,nan,"Programming for numerical calculations, round-off error, approximation and interpolation, numerical quadrature, and solution of ordinary differential equations. Practice on the computer.",Mathematics/Statistics
Public Health (PB HLTH),145,Statistical Analysis of Continuous Outcome Data,PB HLTH 142,4,nan,"Regression models for continuous outcome data: least squares estimates and their properties, interpreting coefficients, prediction, comparing models, checking model assumptions, transformations, outliers, and influential points. Categorical explanatory variables: interaction and analysis of covariance, correlation and partial correlation. Appropriate graphical methods and statistical computing. Analysis of variance for one- and two-factor models: F tests, assumption checking, multiple comparisons. Random effects models and variance components. Introduction to repeated measures models.",Mathematics/Statistics
Statistics (STAT),133,Concepts of Computing with Data,None,3,R,"An introduction to computationally intensive applied statistics. Topics will include organization and use of databases, visualization and graphics, statistical learning and data mining, model validation procedures, and the presentation of results.",Mathematics/Statistics
