Course Dept,Course #,Course Name,Prerequisites,Units,Tools,Description,Course Cluster
Bioengineering (BIO ENG),143,Computational Methods in Biology,"MATH 53, MATH 54",4,nan,"An introduction to biophysical simulation methods and algorithms, including molecular dynamics, Monte Carlo, mathematical optimization, and ""non-algorithmic"" computation such as neural networks. Various case studies in applying these areas in the areas of protein folding, protein structure prediction, drug docking, and enzymatics will be covered. Core Specialization: Core B (Informatics and Genomics); Core D (Computational Biology); BioE Content: Biological.",Biological Science
Bioengineering (BIO ENG),131,Introduction to Computational Molecular and Cell Biology,"MATH 54, BIO 1A",4,nan,"Topics include computational approaches and techniques to gene structure and genome annotation, sequence alignment using dynamic programming, protein domain analysis, RNA folding and structure prediction, RNA sequence design for synthetic biology, genetic and biochemical pathways and networks, UNIX and scripting languages, basic probability and information theory. Various ""case studies"" in these areas are reviewed; web-based computational biology tools will be used by students and programming projects will be given. Computational biology research connections to biotechnology will be explored.",Biological Science
"Environmental Science, Policy, and Management (ESPM)",88B,Data Sciences in Ecology and the Environment,DATA 8,2,nan,"Many of the greatest challenges we face today come from understanding and interacting with the natural world: from global climate change to the sudden collapse of fisheries and forests, from the spread of disease and invasive species to the unknown wealth of medical, cultural, and technological value we derive from nature. Advances in satellites and micro-sensors, computation, informatics and the Internet have made available unprecedented amounts of data about the natural world, and with it, new challenges of sifting, processing and synthesizing large and diverse sources of information. In this course, students will apply methods and understanding they gain in the Foundations course to real-world ecological and environmental data sets. Through this hands-on approach, students will learn more about issues in the natural world while also developing the practical skills for working with heterogeneous real-world data encountered in all areas of data science.",Biological Science
"Environmental Science, Policy, and Management (ESPM)",88A,Exploring Geospatial Data,DATA 8,2,nan,"From interactive web maps to spatial data analysis, digital geographic data and information are becoming an important part of the data science landscape. Almost everything happens somewhere that can be mapped on the surface of the earth. In many cases the where matters as much to an analysis as the what and the why. Geospatial data analysis allows a researcher to consider location explicitly. This course provides an introduction to working with digital geographic data, or geospatial data. We will explore concepts of geospatial data representation, methods for acquisition, processing and analysis, and techniques for creating compelling geovisualizations. No prior knowledge is assumed or expected.",Biological Science
"Environmental Science, Policy, and Management (ESPM)",C177,GIS and Environmental Spatial Data Analysis,None,4,nan,"This course offers an introduction to spatial data analysis. It integrates ArcGIS analysis with spatial statistical analysis for the study of pattern and process applicable to a wide variety of fields. Major topics covered include: spatial sampling, processing data with ARC Info, exploratory GIS analysis, spatial decomposition, spatial point patterns and Ripley's K function, spatial autocorrelation, geostatistics, spatially weighted regression, spatial autoregression, generalized linear models and generalized linear mixed models.",Biological Science
Geography (GEOG),187,Geographic Information Analysis,None,4,nan,"A spatial analytic approach to digital mapping and GIS. Given that recording the geolocation of scientific, business and social data is now routine, the question of what we can learn from the spatial aspect of data arises. This class looks at challenges in analyzing spatial data, particularly scale and spatial dependence. Various methods are considered such as hotspot detection, interpolation, and map overlay. The emphasis throughout is hands on and practical rather than theoretical.",Biological Science
Mathematics (MATH),127,Mathematical and Computational Methods in Molecular Biology,"MATH 53, MATH 54, MATH 55, STAT 20",4,nan,"Introduction to mathematical and computational problems arising in the context of molecular biology. Theory and applications of combinatorics, probability, statistics, geometry, and topology to problems ranging from sequence determination to structure analysis.",Biological Science
Molecular and Cell Biology (MCELLBI),166,Biophysical Neurobiology,"BIO 1A/1AL, PHYS 8A - PHYS 8B, CHEM 1A, CHEM 3A/3AL - CHEM 3B/3BL",3,nan,"Electrochemistry and ion transport phenomena, equivalent circuits, excitability, action potentials, voltage clamp and the Hodgkin-Huxley model. Biophysical properties of ion channels. Statistical and electrophysiological models of synaptic transmission, Quantitative models for dendritic structure and neuronal morphogenesis. Sensory transduction, cellular networks as computational devices, information processing and transfer.",Biological Science
Molecular and Cell Biology (MCELLBI),137,Computer Simulation in Biology,None,3,nan,Modeling and computer simulation of dynamic biological processes using special graphical interfaces requiring very little mathematical or computer experience. Models are drawn from the current literature to teach concepts and technique. The later part of the course is a workshop for student-selected individual projects. Computer work may be done at home or in the university laboratory.,Biological Science
Molecular and Cell Biology (MCELLBI),C148,Microbial Genomics and Genetics,None,4,nan,"Course emphasizes bacterial and archaeal genetics and comparative genomics. Genetics and genomic methods used to dissect metabolic and development processes in bacteria, archaea, and selected microbial eukaryotes. Genetic mechanisms integrated with genomic information to address integration and diversity of microbial processes. Introduction to the use of computational tools for a comparative analysis of microbial genomes and determining relationships among bacteria, archaea, and microbial eukaryotes.",Biological Science
