Course Dept,Course #,Course Name,Prerequisites,Units,Tools,Description,Course Cluster
Economics (ECON),C142,Applied Econometrics and Public Policy,ECON 140 or ECON 141 or consent of instructor,4,nan,"This course focuses on the sensible application of econometric methods to empirical problems in economics and public policy analysis. It provides background on issues that arise when analyzing non-experimental social science data and a guide for tools that are useful for empirical research. By the end of the course, students will have an understanding of the types of research designs that can lead to convincing analysis and be comfortable working with large scale data sets.",Economics/Business
Economics (ECON),141,Econometric Analysis,"ECON 100A - ECON 100B or ECON 101A - ECON 101B, STAT 20 or STAT 21 or STAT 131A, MATH 53, MATH 54",4,R,"Introduction to problems of observation, estimation, and hypothesis testing in economics. This course covers the statistical theory for the linear regression model and its variants, with examples from empirical economics.",Economics/Business
Economics (ECON),C175,Economic Demography,ECON 1 or ECON 2,3,nan,"A general introduction to economic demography, addressing the following kinds of questions: What are the economic consequences of immigration to the U.S.? Will industrial nations be able to afford the health and pension costs of the aging populations? How has the size of the baby boom affected its economic well being? Why has fertility been high in Third World countries? In industrial countries, why is marriage postponed, divorce high, fertility so low, and extramarital fertility rising? What are the economic and environmental consequences of rapid population growth?",Economics/Business
Economics (ECON),140,Economic Statistics and Econometrics,"ECON 100A, ECON 100B or ECON 101A, ECON 101B, STAT 20 or STAT 21 or STAT 131A",4,nan,"Introduction to problems of observation, estimation, and hypothesis testing in economics. This course covers the linear regression model and its application to empirical problems in economics.",Economics/Business
Economics (ECON),174,Global Poverty and Impact Evaluation,"ECON 100A or ECON 100B, STAT 20",4,nan,"Rather than simply describing the causes and symptoms of global poverty, this course will explore the variety of tools available for rigorously measuring the impact of development programs. Through weekly case studies of field research, the course will cover impact evaluation theory and methods. The course will culminate with a final project in which each student will design an impact evaluation of a policy or intervention.",Economics/Business
Economics (ECON),C103,Introduction to Mathematical Economics,"MATH 53, MATH 54",4,FEMLAB,"Selected topics illustrating the application of mathematics to economic theory. This course is intended for upper-division students in Mathematics, Statistics, the Physical Sciences, and Engineering, and for economics majors with adequate mathematical preparation. No economic background is required.",Economics/Business
Environmental Economics and Policy (ENVECON),C180,Ecological Economics in Historical Context,None,3,nan,"Economists through history have explored economic and environmental interactions, physical limits to growth, what constitutes the good life, and how economic justice can be assured. Yet economists continue to use measures and models that simplify these issues and promote bad outcomes. Ecological economics responds to this tension between the desire for simplicity and the multiple perspectives needed to understand complexity in order to move toward sustainable, fulfilling, just economies.",Economics/Business
Environmental Economics and Policy (ENVECON),140AC,"Economics of Race, Agriculture, and the Environment",ENVECON 1 or consent of instructor,3,nan,"This course examines whether and how economic processes explain shifting formations of race and differential experiences among racial groups in U.S. agricultural and environmental systems. It approaches economic processes as organizing dynamics of racial differentiation and integration, and uses comparative experience among different racial and ethnic groups as sources of evidence against which economic theories of differentiation and integration can be tested.",Economics/Business
Environmental Economics and Policy (ENVECON),131,Globalization and the Natural Environment,ECON 100A or consent of instructor,3,nan,"An examination of the environmental effects of globalization. How has increased international trade, the integration of factor markets, and the adoption of international agreements affected the environment? Case studies include the environmental impact of GATT/WTO and NAFTA. Multi-disciplinary approach examines the actual laws and institutions and the economic theories of globalization, in addition to the empirical evidence of globalization's environmental effects.",Economics/Business
Environmental Economics and Policy (ENVECON),C118,Introductory Applied Econometrics,STAT 2,4,nan,"Formulation of a research hypothesis and definition of an empirical strategy. Regression analysis with cross-sectional and time-series data; econometric methods for the analysis of qualitative information; hypothesis testing. The techniques of statistical and econometric analysis are developed through applications to a set of case studies and real data in the fields of environmental, resource, and international development economics. Students learn the use of a statistical software for economic data analysis. Also listed as International and Area Studies C118.",Economics/Business
Undergraduate Business Administration (UGBA),104,Analytic Decision Modeling Using Spreadsheets,"MATH 1B or MATH 16B, STAT 21 ",3,nan,"This course provides an introduction to several quantitative methods used to facilitate complex decision-making in business, with applications in many different industries, at different levels in the organization, and with different scopes of decisions. The power of the methods covered in this class is further enhanced by implementing them in spreadsheet software, which allows complex problems to be approached and solved in a straightforward and understandable manner.",Economics/Business
Undergraduate Business Administration (UGBA),122,Financial Information Analysis,UBGA 120A,3,nan,"This course is designed to: 1) develop basic skills in financial statement analysis; 2) teach students to identify the relevant financial data used in a variety of decision contexts, such as equity valuation, forecasting firm-level economic variables, distress prediction and credit analysis; 3) help students appreciate the factors that influence the outcome of the financial reporting process, such as the incentives of reporting parties, regulatory rules, and a firm's competitive environment.",Economics/Business
Undergraduate Business Administration (UGBA),143,Game Theory and Business Decisions,"MATH 1B or MATH 16B, STAT 21 ",3,nan,"This course provides an introduction to game theory and decision analysis. Game theory is concerned with strategic interactions among players (multi-player games), and decision analysis is concerned ",Economics/Business
Undergraduate Business Administration (UGBA),161,Marketing Research: Tools and Techniques for Data Collection and Analysis,UGBA 106,3,nan,"Marketing research objectives; qualitative research, surveys, experiments, sampling, data analysis.",Economics/Business
