Course Dept,Course #,Course Name,Prerequisites,Units,Tools,Description,Course Cluster
Architecture (ARCH),154,Design and Computer Analysis of Structure,ARCH 150,3,nan,Design and analysis of whole structural building systems with the aid of finite element analytical methods. Advanced structural concepts explored in a laboratory environment.,Engineering
Civil and Environmental Engineering (CIV ENG),88,Data Science for Smart Cities,DATA 8,2,nan,"Cities become more dependent on the data flows that connect infrastructures between themselves, and users to infrastructures. Design and operation of smart, efficient and resilient cities nowadays require data science skills. This course provides an introduction to working with data generated within transportation systems, power grids, communication networks, as well as collected via crowd-sensing and remote sensing technologies, to build demand- and supply-side urban services based on data analytics.",Engineering
Civil and Environmental Engineering (CIV ENG),93,Engineering Data Analysis,E 7,3,MATLAB,Application of the concepts and methods of probability theory and statistical inference to CEE problems and data; graphical data analysis and sampling; elements of set theory; elements of probability theory; random variables and expectation; simulation; statistical inference. Applications to various CEE problems and real data will be developed by use of MATLAB and existing codes. The course also introduces the student to various domains of uncertainty analysis in CEE.,Engineering
Civil and Environmental Engineering (CIV ENG),193,Engineering Risk Analysis,Upper division standing,3,nan,"Applications of probability theory and statistics in planning, analysis, and design of civil engineering systems. Development of probabilistic models for risk and reliability evaluation. Occurrence models; extreme value distributions. Analysis of uncertainties. Introduction to Bayesian statistical decision theory and its application in engineering decision-making.",Engineering
Electrical Engineering (EL ENG),144,"Fundamental Algorithms for Systems Modeling, Analysis, and Optimization","EE20, CS 70",4,"R, Python","The modeling, analysis, and optimization of complex systems requires a range of algorithms and design software. This course reviews the fundamental techniques underlying the design methodology for complex systems, using integrated circuit design as example. Topics include design flows, discrete and continuous models and algorithms, and strategies for implementing algorithms efficiently and correctly in software. Laboratory assignments and a class project will expose students to state-of-the-art tools.",Engineering
Electrical Engineering (EL ENG),129,Neural and Nonlinear Information Processing,EE 120 or consent of instructor,3,nan,"Principles of massively parallel real-time computation, optimization, and information processing via nonlinear dynamics and analog VLSI neural networks, applications selected from image processing, pattern recognition, feature extraction, motion detection, data compression, secure communication, bionic eye, auto waves, and Turing patterns.",Engineering
Electrical Engineering (EL ENG),127,Optimization Models in Engineering,MATH 54 or consent of instructor,4,nan,"This course offers an introduction to optimization models and their applications, ranging from machine learning and statistics to decision-making and control, with emphasis on numerically tractable problems, such as linear or constrained least-squares optimization.",Engineering
Electrical Engineering (EL ENG),126,Probability and Random Processes,"EE 16A, EE 16B",4,nan,"This course covers the fundamentals of probability and random processes useful in fields such as networks, communication, signal processing, and control. Sample space, events, probability law. Conditional probability. Independence. Random variables. Distribution, density functions. Random vectors. Law of large numbers. Central limit theorem. Estimation and detection. Markov chains.",Engineering
Engineering (ENGIN),180A,Computational Engineering Science Modeling and Simulation I/II,"E 7, MATH 128A - MATH 128B, MATH 170A - MATH 170B, Upper division standing",4,nan,"This course sequence focuses on the concepts of computational modeling and simulation. Concepts are illustrated with projects drawn from the multidisciplinary areas of computational engineering science. Areas covered span biology, chemistry, applied mathematics, and physics, as well as all areas of engineering. Models will progress sequentially through problem statement, mathematical model, approximations and analytic solution, discrete model, object-oriented model, implementation and simulation, visualization, and comparison to analysis, experimentation and observation.",Engineering
Engineering (ENGIN),7,Introduction to Computer Programming for Scientists and Engineers,MATH 1B,4,nan,"Elements of procedural and object-oriented programming. Induction, iteration, and recursion. Real functions and floating-point computations for engineering analysis. Introduction to data structures. Representative examples are drawn from mathematics, science, and engineering. The course uses the MATLAB programming language. Sponsoring departments: Civil and Environmental Engineering and Mechanical Engineering.",Engineering
