Course Dept,Course #,Course Name,Prerequisites,Units,Tools,Description,Course Cluster
Cognitive Science (COG SCI),131,Computational Models of Cognition,"MATH 1A, MATH 1B, CS 70 or MATH 55, COG SCI 1, CS 61A",4,nan,"This course will provide advanced students in cognitive science and computer science with the skills to develop computational models of human cognition, giving insight into how people solve challenging computational problems, as well as how to bring computers closer to human performance. The course will explore three ways in which researchers have attempted to formalize cognition -- symbolic approaches, neural networks, and probability and statistics -- considering the strengths and weaknesses of each.",Social Science
Cognitive Science (COG SCI),88,Data Science and the Mind,DATA 8,2,nan,"How does the human mind work? We explore this question by analyzing a range of data concerning such topics as human rationality and irrationality, human memory, how objects and events are represented in the mind, and the relation of language and cognition. This class provides young scientists with critical thinking and computing skills that will allow them to work with data in cognitive science and related disciplines.",Social Science
Cognitive Science (COG SCI),C140,Quantitative Methods in Linguistics,LINGUIS 100 or graduate student standing,4,R,An introduction to research using quantitative analysis in linguistics and cognitive science. Students will learn how to use the R programming environment for statistical analysis and data visualization. Also listed as Linguistics C160.,Social Science
Demography (DEMOG),C175,Economic Demography,ECON 1 or ECON 2,3,MATLAB,"A general introduction to economic demography, addressing the following kinds of questions: What are the economic consequences of immigration to the U.S.? Will industrial nations be able to afford the health and pension costs of the aging populations? How has the size of the baby boom affected its economic well being? Why has fertility been high in Third World countries? In industrial countries, why is marriage postponed, divorce high, fertility so low, and extramarital fertility rising? What are the economic and environmental consequences of rapid population growth?",Social Science
Demography (DEMOG),5,Fundamentals of Population Science,None,3,nan,"This course provides an accessible introduction to the social science of demography. The course is organized around cases in which population issues raise policy or ethical dilemmas (example: China's one child policy). Through these cases, students will learn how demographers use models and data to acquire knowledge about population. Throughout the course, students will also learn to read, interpret, evaluate, and produce tabular and graphical representations of population data.",Social Science
Demography (DEMOG),C164,Impact of Government Policies on Poor Children and Families,None,4,MATLAB,"Examination of the impact of policies of state intervention and public benefit programs on poor children and families. Introduction to child and family policy, and study of specific issue areas, such as income transfer programs, housing, health care, and child abuse.",Social Science
Demography (DEMOG),110,Introduction to Population Analysis,None,3,nan,"Measures and methods of Demography. Life tables, fertility and nuptiality measures, age pyramids, population projection, measures of fertility control.",Social Science
Demography (DEMOG),C126,Social Consequences of Population Dynamics,SOC 1 or SOC 3 or SOC 3AC or consent of instructor,4,nan,"Introduction to population issues and the field of demography, with emphasis on historical patterns of population growth and change during the industrial era. Topics covered include the demographic transition, resource issues, economic development, the environment, population control, family planning, birth control, family and gender, aging, intergenerational transfers, and international migration.",Social Science
Environmental Design (ENV DES),4B,Global Cities,None,3,nan,"This study of cities is more important than ever; for the first time in history more people live in urban than rural areas, and cities will account for all of the world's population growth for at least the next half-century. We will explore the challenges facing global cities in the 21st Century and expose students to some of the key texts, theories, and methods of inquiry that shape the built environment, from the human scale of home and community to the regional scale of the megacity.",Social Science
Environmental Design (ENV DES),100,The City: Theories and Methods in Urban Studies,None,4,nan,"This course is concerned with the study of cities. Focusing on great cities around the world - from Chicago to Los Angeles, from Rio to Shanghai, from Vienna to Cairo it covers of historical and contemporary patterns of urbanization and urbanism. Through these case studies, it introduces the key ideas, debates, and research genres of the interdisciplinary field of urban studies. In other words, this is simultaneously a ""great cities"" and ""great theories"" course. Its purpose is to train students in critical analysis of the socio-spatial formations of their lived world.",Social Science
"Environmental Science, Policy, and Management (ESPM)",173,Introduction to Ecological Data Analysis,None,3,nan,"Introduces concepts and methods for practical analysis of data from ecology and related disciplines. Topics include data summaries, distributions, and probability; comparison of data groups using t-tests and analysis of variance; comparison of multi-factor groups using analysis of variance; evaluation of continuous relationships between variables using regression and correlation; and a glimpse at more advanced topics. In computer laboratories, students put concepts into practice and interpret results.",Social Science
"Environmental Science, Policy, and Management (ESPM)",100,Introduction to the Methods of Environmental Science,"Completion of upper division statistics, declared Environmental Sciences majors.",4,nan,"Introduction to basic methods used in environmental research by biological, physical, and social scientists; designed to teach skills necessary to conduct independent thesis research in the required senior seminar, 196A-196B/196L. Topics include development of research questions, sampling methods, experimental design, statistical analysis, scientific writing and graphics, and introductions to special techniques for characterizing environmental conditions and features. This course is the prerequisite to 196A.""",Social Science
Information (INFO),88,Data and Ethics,DATA 8,2,nan,"This course provides an introduction to critical and ethical issues surrounding data and society. It blends social and historical perspectives on data with ethics, policy, and case examples from Facebook's Emotional Contagion experiment to search engine algorithms to self-driving cars to help students develop a workable understanding of current ethical issues in data science. Ethical and policy-related concepts addressed include: research ethics; privacy and surveillance; data and discrimination; and the black box of algorithms. Importantly, these issues will be addressed throughout the lifecycle of data from collection to storage to analysis and application.",Social Science
International and Area Studies (IAS),102,Scope and Methods of Research in International and Area Studies,DS H195 in following semester,4,nan,"Required prerequisite for all students intending to enroll in Development Studies H195 and Political Economy of Industrial Societies H195. Introduction to interdisciplinary research strategies for the collection, interpretation, and analysis of data. Course integrates the study of the fundamental theories of social science with the practical techniques of social science research methods.",Social Science
Letters and Science (L & S),88-1,"Health, Human Behavior, and Data",DATA 8,2,nan,"Humans, especially we older ones, are obsessed with good health and longevity, and we are willing to pay for it. As a nation, Americans spend 17% of their incomes on health care, and that share has generally been rising above and beyond what one would expect based on aging of the population alone. In an era when the longevity gap between rich and poor may be widening, we are keenly interested in understanding and preventing health inequalities by improving the health of the disadvantaged. But what external elements and human behaviors produce good health? What kinds of influences reduce health? Is there a difference between activities that we observe healthy people engaging in and activities that actually improve health? The gold standard for disentangling cause and effect in medicine is the randomized controlled trial. But we suspect that many social and behavioral phenomena are important for population health but are never administered in specific dosages to randomly selected treatment and control groups. In this first year connector course, we will examine and discuss measures of human health and longevity alongside arrays of measurable influences on health, identifying the key questions traditionally addressed in health sciences and exploring the current frontier. We will develop broad knowledge of the metrics, methods, and challenges, and we will apply them toward understanding of current issues in health policy.",Social Science
Letters and Science (L & S),88-2,Literature and Data,DATA 8,2,Python (Jupyter Notebook),"From our off-hand Tweets to the well-wrought urn of poetry, text functions both as a device for communication and a way of examining the world around us. We use text to lay out our thoughts in argumentative essays, speeches, and novels that have power of influence at the grand-scale of politics and at the personal scale of our selves. However, vast reams of this text lie apparently beyond our reach: it would be as difficult to sit down and read every blog post from a given day as it would be to read every novel in the library. Data science opens new avenues to ?__read?_? at previously untold scale, but if we did read every novel, would that change which ones we thought were important? Would we have to learn a different kind of reading all together? In this course, we will apply methods learned in Foundations of Data Science to sets of literary texts in order to expand our reading practices. This humanities-oriented approach will require us to think about the limits of both new and traditional reading methods and how we make arguments based on data.",Social Science
Linguistics (LINGUIS),158,Computational Linguistics,"LINGUIS 120, CS 61A",3,nan,"A survey of computational areas and methods in linguistics. Topics include the Chomsky hierarchy, finite-state transducers, context-free grammars, parsing, unification, two-level phonology, computational morphology, human sentence processing, garden path sentences, lexical access, ambiguity, connectionism, probabilistic algorithms, computational semantics, and computational reconstruction.",Social Science
Linguistics (LINGUIS),141,Empiricism and Linguistics,LINGUIS 5 or LINGUIS 100,3,nan,"This course considers the status of linguistics as a scientific field of inquiry. Methodological approaches and the type of information that serve as data in linguistics are surveyed and placed in the context of other social science methodology and data. Throughout the course, the practice of linguistics as the science of language, its successes and weaknesses, are placed in the context of thought on the philosophy of science. Students design and carry out projects using subject methodologies (introspection, corpus, statistical, fieldwork, experimental).",Social Science
Linguistics (LINGUIS),140,Introduction to Field Methods,"LINGUIS 110, LINGUIS 115",3,nan,Training in the discrimination and transcription of the sounds of a particular language. Methods and practice in collecting and processing data from a particular language.,Social Science
Psychology (PSYCH),10,Research and Data Analysis in Psychology,"PSYCH 1, MATH 10A - MATH 10B or STAT 2",4,R,"The class covers research design, statistical reasoning, and statistical methods appropriate for psychological research. Topics covered in research design include the scientific method, experimental versus correlational designs, controls and placebos, within and between subject designs and temporal or sequence effects. Topics covered in statistics include descriptive versus inferential statistics, linear regression and correlation and univariate statistical tests: t-test, one way and two-way ANOVA, chi-square test. The class also introduces non-parametric tests and modeling. Prospective Psychology majors need to take this course to be admitted to the major.",Social Science
Psychology (PSYCH),101,Research and Data Analysis in Psychology,"PSYCH 1, MATH 10A - MATH 10B or STAT 2",4,R,"The course will concentrate on hypothesis formulation and testing, tests of significance, analysis of variance (one-way analysis), simple correlation, simple regression, and nonparametric statistics such as chi-square and Mann-Whitney U tests. Majors intending to be in the honors program must complete 101 by the end of their junior year.",Social Science
Public Health (PB HLTH),140,Introduction to Risk and Demographic Statistics,MATH 1A - MATH 1B,4,nan,"Statistical and evaluation methods in studies of human mortality, morbidity, and natality. History of statistical terminology and notation, critical appraisal of registry and census data, measurement of risk and introduction to life tables. Computational systems and the analysis of mass data.",Social Science
Public Health (PB HLTH),144A,Introduction to SAS Programming,PB HLTH 142,2,SAS,"This course is intended to serve as an introduction to the SAS programming language for Windows in an applied, workshop environment. Emphasis is on data management and programming in a public health research setting. Topics include SAS language to compute, recode, label, and format variables as well as sort, subset, concatenate, and merge data sets. SAS statistical procedures will be used to compute univariate and bivariate summary statistics and tests, simple linear models,graphical plots, and statistical output data sets.",Social Science
Public Health (PB HLTH),144B,Introduction to SAS Programming,PB HLTH 142,2,SAS,"Topics include data step flow control, looping and automated processing, implicit and explicit arrays, data simulation strategies, data set reconfiguration, use of SAS Macro variables, and writing simple SAS Macro programs.",Social Science
